date,username,tweet_retweet_count,tweet_favorite_count,user_follower_count,user_friends_count,user_listed_count,user_verified_status,user_favorites_count,user_num_of_tweets,tweet
02/07/2017,RPhillipsMath,199,0,634,283,18,False,7252,9608,"RT @azalben: Fun fact: with the amount of money DeVos &amp; fam may have donated to the GOP, you could pay the yearly salaries of 4,592 element…"
02/07/2017,ResistTilDeath,2,0,1718,960,93,False,5850,33612,RT @Bipartisanism: Al Franken Just Annihilated Betsy DeVos In This Must See 40 Minute Rant (VIDEO) https://t.co/aTMKjtsZXB https://t.co/2AB…
02/07/2017,sojoey,27375,0,1102,891,12,False,1970,2608,RT @SethMacFarlane: Betsy DeVos confirmed.  What is also confirmed is that there is not one single man of courage in the Republican Congres…
02/07/2017,keishajo9,413,0,326,2328,13,False,10476,6446,RT @tonyposnanski: In all fairness Betsy DeVos is just as qualified for her job as Donald Trump is.
02/07/2017,riasmomma,171,0,673,1668,13,False,11516,6516,"RT @urbaninstitute: Betsy DeVos, a charter proponent, must consider how charter school openings &amp; closings affect kids &amp; communities https:…"
02/07/2017,KimRoyCranston,1120,0,40,73,9,False,70,319,RT @washingtonpost: She’s a billionaire who said schools need guns to fight bears. Here’s what you may not know about Betsy DeVos. https://…
02/07/2017,edisoncummings_,23991,0,261,610,3,False,7192,1346,"RT @GeorgeTakei: The DeVos pledge: If your senator voted YES, you pledge to vote AGAINST them in the next election and to donate to their o…"
02/07/2017,jaye_RBP,53,0,152,60,3,False,1926,16446,"RT @rmasher2: Betsy DeVos provides a powerful teachable moment. If you tank a job interview, bigly, it helps to have ""billionaire"" in front…"
02/07/2017,autymn_cutts,1990,0,595,344,5,False,18377,27301,RT @esheikh_: Betsy DeVos paid her way into becoming the Secretary of Education. That is called corruption. https://t.co/NqdVy4dITm
02/07/2017,Saya_relativity,358,0,921,749,171,False,51477,37710,RT @girlsreallyrule: How are teachers supposed to hold their students accountable for plagiarizing when Melania Trump and Betsy DeVos weren…
02/07/2017,CherylLeutjen,121,0,98,351,10,False,38,1367,RT @ALT_DOJ: With @AltNatParkSer We will also campaign against every single senator who voted for #DeVos.That is a promise. RT and follow t…
02/07/2017,spenceville,27375,0,95,603,5,False,453,1561,RT @SethMacFarlane: Betsy DeVos confirmed.  What is also confirmed is that there is not one single man of courage in the Republican Congres…
02/07/2017,mizwizmizwiz,8,0,1980,2060,446,False,61640,88590,RT @ed_kilgore: DeVos' policy proposals aren't going anywhere if they arouse the kind of opposition her confirmation generated. https://t.c…
02/07/2017,JamesHydenDJ,27375,0,111,97,1,False,259,485,RT @SethMacFarlane: Betsy DeVos confirmed.  What is also confirmed is that there is not one single man of courage in the Republican Congres…
02/07/2017,RichardGMedlock,0,0,217,281,16,False,30,43290,The Medlock Post: This actually happened: Unhinged DeVos haters vow ... https://t.co/UYPkgbleqj
02/07/2017,LauraAbril,688,0,128,120,6,False,256,23029,RT @MMFlint: Our great state of Michigan has given you Donald Trump (10K vote margin) &amp; Betsy DeVos (she's worked tirelessly here to destro…
02/07/2017,enza1918,175,0,313,874,1,False,7714,4164,"RT @The_Dailey: These are the states where Betsy DeVos is Secretary of Education.@BetsyDeVos https://t.co/Dt1zA3Tvpm"
02/07/2017,maxmcl3an,0,0,219,697,10,False,2495,9163,Imagine your interview went this bad AND you still got the job AND it's one of the most important jobs in the world https://t.co/18rmSRmHll
02/07/2017,tbake7,1532,0,215,452,22,False,7790,17643,RT @KamalaHarris: I voted NO on DeVos’ nomination and am disappointed we fell short. We must fight to ensure our kids have access to a firs…
02/07/2017,psundin11,740,0,140,327,2,False,1191,1140,"RT @charliekirk11: Why do democrats oppose DeVos &amp; school choice?

Because they are BOUGHT by the teacher unions. 

Got over 33 million thi…"
02/07/2017,shadyshyy,1594,0,105,139,0,False,2423,2085,RT @billyeichner: I wouldn't trust Betsy Devos with my dry cleaning. This is a very sad day. The @GOP are such money grubbing cowards. Sham…
02/07/2017,RueRants,0,0,473,1196,9,False,2157,7276,I went to public school and made it to Columbia University for college. Under DeVos I'd end up in poorly run charter schools w/ no future.
02/07/2017,BethCassil,24542,0,7,162,0,False,820,166,"RT @StephenAtHome: Elementary math under Betsy Devos
Q: Ned and Sheryl each have 4 apples. Who has more apples?
A: Whomever Mike Pence deci…"
02/07/2017,nlentern1,618,0,414,360,33,False,1991,32501,"RT @wilw: Now that DeVos is the Secretary of Education, we can count on future generations learning all about The Bowling Green Massacre."
02/07/2017,kennyureyes,413,0,125,123,0,False,3027,776,RT @tonyposnanski: In all fairness Betsy DeVos is just as qualified for her job as Donald Trump is.
02/07/2017,C_Grebel,15,0,77,114,4,False,491,894,"RT @allisonmpreiss: .@catbrown66 statement on #DeVos confirmation: Unprepared, unaware, and unqualified https://t.co/95Htt13tWM"
02/07/2017,Vickiinmyhead,0,0,168,803,6,False,449,1308,"After confirmation, GOP Congressman filed legislation showing the real reason they backed DeVos https://t.co/lYMBTyqx1u"
02/07/2017,Hollywood_Dave,24542,0,3136,127,213,True,886,5614,"RT @StephenAtHome: Elementary math under Betsy Devos
Q: Ned and Sheryl each have 4 apples. Who has more apples?
A: Whomever Mike Pence deci…"
02/07/2017,DemsOfHunterdon,0,0,137,100,23,False,17,1528,"List: how much Betsy DeVos gave #Republican Senators Who Voted for Her. This is ""draining the swamp""?
https://t.co/fthNmXD3Eh #MAGA @POTUS"
02/07/2017,kaelee,5272,0,205,45,10,False,4980,17216,"RT @jbendery: Al Franken, after DeVos narrowly gets confirmed. Yeeowtch. https://t.co/kOnsLageXD"
02/07/2017,FeralKarma,37,0,2,22,0,False,126,67,"RT @CNNPolitics: GOP Sen. Deb Fischer says Betsy DeVos will have to be ""exposed"" to public schools to see how successful they are https://t…"
02/07/2017,Bill381987,13,0,7824,7772,147,False,51671,54297,"RT @TrumpPence45: Trump is your President.
Pence is your Vice President.

And guess what?

Betsy Devos is your Secretary of Education. Deal…"
02/07/2017,anathymadevice,56,0,435,1315,18,False,14643,9576,RT @TribecaFilmIns: We work every day w students in NYC public schools. Betsy DeVos' approval as Ed Sec is crushing for our students. Priva…
02/07/2017,FNunya,2,0,62,80,1,False,2954,1221,RT @mcgilh: Drain These Two Republicans Voted who No On Betsy DeVos  https://t.co/uc3KnxYQ9g
02/07/2017,healthybuttrfly,24542,0,2911,5001,393,False,26498,29151,"RT @StephenAtHome: Elementary math under Betsy Devos
Q: Ned and Sheryl each have 4 apples. Who has more apples?
A: Whomever Mike Pence deci…"
02/07/2017,Corlene,2,0,4186,4957,98,False,26975,9522,RT @RDammeyer: DeVos is one of those religious conservatives that is so far to right she's looking over the edge of the flat Earth. #Signof…
02/07/2017,oscartaracena,30,0,670,1232,175,False,30197,30201,RT @Green_Footballs: The confirmation of Betsy DeVos is deeply disturbing. I feel like I’m watching America commit intellectual suicide in…
02/07/2017,spookziri,27375,0,187,174,1,False,8107,11392,RT @SethMacFarlane: Betsy DeVos confirmed.  What is also confirmed is that there is not one single man of courage in the Republican Congres…
02/07/2017,Cosmicgoo,27375,0,59,162,1,False,3191,967,RT @SethMacFarlane: Betsy DeVos confirmed.  What is also confirmed is that there is not one single man of courage in the Republican Congres…
02/07/2017,nycricangena,1,0,257,1483,4,False,348,1077,"RT @wlfpack81: ⚡️ “#NYC #students stage #walkout following #DeVos #confirmation”

https://t.co/0iUY24kgtD"
02/07/2017,skyrocket228,0,0,34,135,0,False,112,61,And let's hear a cheer of excitement from the #DeVos supporters. https://t.co/rpKCGPP8Ec
02/07/2017,kellynhoffert,24541,0,419,231,5,False,11698,13455,"RT @StephenAtHome: Elementary math under Betsy Devos
Q: Ned and Sheryl each have 4 apples. Who has more apples?
A: Whomever Mike Pence deci…"
02/07/2017,sanluhi,4,0,77,366,6,False,1669,2003,RT @DemLawStudents: REMINDER: Besty #DeVos has no idea how federal legislation works. Shameful day in D.C. #DeVosvote https://t.co/fTXlxsYq…
02/07/2017,Resist4Dem,0,0,327,534,1,False,195,679,"RT Congress, you're on notice. #resist #theresistance #devos #muslimban #StopPresidentBannon #impeachtrump… https://t.co/jvhik4gMoH"
02/07/2017,Kcroberts,24542,0,76,728,1,False,3,23,"RT @StephenAtHome: Elementary math under Betsy Devos
Q: Ned and Sheryl each have 4 apples. Who has more apples?
A: Whomever Mike Pence deci…"
02/07/2017,DrRamBio,357,0,232,282,33,False,1343,4179,RT @SariHorwitz: The Senate did not confirm Sessions for AG before DeVos because Repubs needed Sessions vote to confirm DeVos.
02/07/2017,EmmausTFXC,182,0,266,5,3,False,57,881,RT @MarkBMiller1: Breaking News: Grizzly Bears organizing protest against Betsy Devos as US Sec'y of Ed. @DianeRavitch @ProfessorJVH @carol…
02/07/2017,reallyhillary,4,0,80,318,6,False,461,3471,RT @CMarieAnn: An Arya Stark style list of cowardly #GOP Senators who ignored your voices re #DeVos. Remind them who they work for. #VoteTh…
02/07/2017,RobinM329,186,0,980,1568,34,False,324,14149,"RT @AmyMek: Parents across USA celebrate Betsy DeVos being CONFIRMED as Secretary of Education! Finally, the Islamic Indoctrination of our…"
02/07/2017,UGetWhatUVote4,160,0,506,958,10,False,2178,2621,"RT @WilcoMeThat: I find it hilarious how Trumpies are laughing at us about DeVos, when it's their own kids and grandkids they just screwed…"
02/07/2017,has_bookpushers,286,0,3825,591,255,False,6163,121020,"RT @KateElliottSFF: After the DeVos confirmation please remember:
universal free public education  (paid for by taxes) is a radical idea wo…"
02/07/2017,Lazarus_Liberty,190,0,25,200,0,False,549,164,RT @CREDOMobile: RT/SHARE to shame these members of @SenateGOP who chose Trump's fascist agenda over education of America's children: #DeVo…
02/07/2017,ElizabethWade44,8,0,134,117,17,False,267,6459,"RT @GeneMcVay: The Democrats and Corrupt Media would rather have Godzilla than Betsy DeVos.

What better endorsement could she have? https:…"
02/07/2017,dkmoll,363,0,328,351,16,False,593,8491,RT @OhNoSheTwitnt: Maybe DeVos is part of a plan to make parents stop sending their kids to school so they won't learn enough to not vote R…
02/07/2017,wikigamaliel,0,0,186,191,12,False,5728,1389,Go away you narcissist.  https://t.co/INBjs0ZXPE
02/07/2017,NoFascistsPls,771,0,460,882,14,False,9262,8345,"RT @People4Bernie: Senators up for reelection in 2018 who voted DeVos,

FLAKE- AZ
WICKER- MS
FISCHER- NE
HELLER- NV
CORKER- TN
CRUZ- TX
HAT…"
02/07/2017,carmic14,616,0,2745,4418,575,False,54930,142898,"RT @EugeneLeeYang: The DeVos confirmation is staggeringly horrendous for everyone's children, regardless of political affiliation #Educatio…"
02/07/2017,SarieAnneR,1,0,303,206,3,False,10956,4869,"RT @KEBrightbill: Homeschooled kids deserve protection and oversight, if you're looking for someone to support in response to DeVos. https:…"
02/07/2017,RussellGS1,8711,0,23,67,0,False,15,116,RT @ItsDanSheehan: Very important to get your DeVos jokes in while people can still read
02/07/2017,shaunal80908092,671,0,1,12,0,False,27,82,"RT @RonnienDonnie: ""Who got screwed over today?""
#devos https://t.co/uK21sAoj3j"
02/07/2017,txaylorbxrown,8711,0,248,250,2,False,8165,11152,RT @ItsDanSheehan: Very important to get your DeVos jokes in while people can still read
02/07/2017,NormHeyboer,27375,0,264,778,14,False,1598,1934,RT @SethMacFarlane: Betsy DeVos confirmed.  What is also confirmed is that there is not one single man of courage in the Republican Congres…
02/07/2017,FragileLamplite,271,0,318,1037,15,False,2592,5489,"RT @RefuseFascism: RIGHT NOW! #NYC high school #walkout 
This happening the same day enemy of children #devos is confirmed... ILLEGITIMATE!…"
02/07/2017,jake_fr97,1,0,435,232,0,False,3412,5152,"RT @vtorress23: @charliekirk11 @jake_fr97 Sorry but what? who's taking away that choice? Plenty of privates, DeVos threatens the option of…"
02/07/2017,thelancearthur,67,0,1342,1184,59,False,4477,41981,"RT @CharlesMBlow: ⚡️ “NYC students stage walkout following DeVos confirmation”

https://t.co/FP5ZdIqdES"
02/07/2017,_kkelly,36,0,385,325,3,False,12278,10582,"RT @jordan_stratton: STUDENT: Mrs. DeVos, how big is the world?

DEVOS: Small enough to fit in God's hands, dear.

NEIL DEGRASSE TYSON: *ha…"
02/07/2017,JRC1958,0,0,401,763,18,False,3835,6105,A must read--it's worse than we thought! Here's what you may not know about Betsy DeVos. https://t.co/aOMg3NMI5o
02/07/2017,natAndrewson,1383,0,3002,557,89,False,10286,9503,"RT @audreywatters: The Senators who voted for DeVos whose terms are up in 2018

Flake AZ
Wicker MS
Fischer NE
Heller NV
Corker TN
Cruz TX
H…"
02/07/2017,cmcrabtree1,2116,0,2636,2520,98,False,4495,11944,"RT @jfreewright: $200,000,000‼️ to Republicans from the DeVos family. If you want a swamp built, ring them. Call 1(877) 919-6082. Tell your…"
02/07/2017,LyndaAnnK,329,0,143,30,26,False,1298,4123,"RT @TallahForTrump: Here's the 2 Rhinos who tried to backstab us voting against DeVos in return for Union cash...disgrace👇🏽😠
@SenatorCollin…"
02/07/2017,Arianafaizi99,8711,0,477,508,8,False,66600,24294,RT @ItsDanSheehan: Very important to get your DeVos jokes in while people can still read
02/07/2017,Blackbeastsarah,23991,0,48,127,0,False,676,282,"RT @GeorgeTakei: The DeVos pledge: If your senator voted YES, you pledge to vote AGAINST them in the next election and to donate to their o…"
02/07/2017,VickieStruck1,15,0,143,218,29,False,14126,23403,"RT @weprogressives: Congrats on becoming Trump's useful little tool, Marco!  https://t.co/ACuRZxJ1lW"
02/07/2017,PhdFor,5,0,6412,6214,103,False,15379,49036,RT @MaryLoveUS4: Amid Tears of The Fools – Betsy Devos Confirmed as Secretary of Education… https://t.co/hRpf21jSnY https://t.co/Ni4YP3OTzg
02/07/2017,trymeagainlouis,3197,0,438,117,16,False,129977,79244,"RT @Pappiness: Future math curriculum:

If you have $200mil and need 51 votes, how much money will you have to give each Senator to buy the…"
02/07/2017,Resistance2k16,23991,0,101,126,15,False,1584,2715,"RT @GeorgeTakei: The DeVos pledge: If your senator voted YES, you pledge to vote AGAINST them in the next election and to donate to their o…"
02/07/2017,olesteev,712,0,90,457,1,False,4540,1350,RT @KyleKulinski: Here's the guy who broke the DeVos tie arguing against evolution in congress and crediting his career to Rush Limbaugh. h…
02/07/2017,LetzBrealistic,216,0,632,801,21,False,20740,15282,"RT @BigStick2013: Get your popcorn 🍿- Congrats Education Secretary Betsy DeVos - Charter Schools, choices &amp; breaking up Teachers Unions, go…"
02/07/2017,LisaAnneLV,789,0,420,708,8,False,19472,10424,"RT @AltNatParkSer: Future math curriculum:

If you have $200M and need 51 votes, how much money will you have to give each Senator to buy t…"
02/07/2017,redpillmike,3,0,260,221,3,False,3682,2639,RT @DenaldJTrumpJr: DoED employees can fall in line with Secretary DeVos or submit resignations immediately #MAGA
02/07/2017,sometimesreads,6024,0,292,573,6,False,3456,3512,"RT @Pres_Bartlet: These are the Senators who voter for DeVos who terms end in 2018:
Flake
Wicker
Fischer
Heller
Corker
Cruz
Hatch
Barrasso"
02/07/2017,TamirBryant,784,0,626,954,6,False,10632,12046,RT @itzzkait: Wow the simpsons even predicted what would happen after Betsy DeVos won secretary of education https://t.co/5hQa11PikM
02/07/2017,Jaquebelle,260,0,1114,3851,71,False,23336,14822,RT @Christiana1987: You think if Donald Trump or Betsy DeVos were born in the projects they'd be where they are? Nope. They're proof this i…
02/07/2017,Pupp_Will,25,0,1725,1518,421,False,24670,33790,RT @DC_para: @funder (Worth Watching.. Great Speech) @SenatorHassan's Floor Speech tonight in Opposition to Betsy DeVos... https://t.co/GOL…
02/07/2017,sushigrade,30,0,242,576,15,False,10718,4958,RT @Green_Footballs: The confirmation of Betsy DeVos is deeply disturbing. I feel like I’m watching America commit intellectual suicide in…
02/07/2017,ebgbz1,242,0,2080,2396,114,False,8827,70158,"RT @ChristiChat: A+ #DeVos
The president believes strongly that our nation's success depends on the education of our students.
#MAGA
https:…"
02/07/2017,vnsj0123,24542,0,22,55,1,False,4598,984,"RT @StephenAtHome: Elementary math under Betsy Devos
Q: Ned and Sheryl each have 4 apples. Who has more apples?
A: Whomever Mike Pence deci…"
02/07/2017,erin28811,0,0,51,227,13,False,501,335,"⚡ NYC students stage walkout following DeVos confirmation

https://t.co/8w0umlMf5S"
02/07/2017,whp1991,70,0,175,465,4,False,1681,8490,RT @marcuspaige5: DeVos. Smh.
02/07/2017,arnold,18,0,634,1794,75,False,8152,39925,RT @jameshamblin: True https://t.co/0gsscCJdfJ https://t.co/Bh63oqtsAs
02/07/2017,ResistShirt,4,0,4,67,0,False,68,81,"RT @NOTRUMPUSA1: Student loan companies, Navient &amp; Nelnet's stock grew over 50% since the election and last week #devos #TedCruz #CORRUPTIO…"
02/07/2017,DirtyTires,11,0,55,301,3,False,4557,3855,"RT @reallyo1: Betsy DeVos is the new Secretary of Education!
Lefties grab your cute signs and Pussy Hats and get to Protesting! It's gettin…"
02/07/2017,sarahstatham22,117,0,30,242,2,False,511,816,RT @TheLewisBlack: So Devos' confirmation is a science experiment? What happens when you choose someone who doesn't believe in public schoo…
02/07/2017,SheriffLonestar,117,0,831,2187,59,False,6474,37808,RT @TheLewisBlack: So Devos' confirmation is a science experiment? What happens when you choose someone who doesn't believe in public schoo…
02/07/2017,Amber_X0_,403,0,141,309,0,False,1745,5404,"RT @BrianWithCheese: DeVos straight up admits that she bought her position.

This is where we are, now. https://t.co/JK00Xbgmyv"
02/07/2017,capsandcupcakes,8711,0,263,559,2,False,11411,5359,RT @ItsDanSheehan: Very important to get your DeVos jokes in while people can still read
02/07/2017,rlgme,117,0,900,2164,2,False,134,1764,"RT @comermd: There's something about a well thought out comment that exemplifies why charters and school choice is desperately need! 
Sec E…"
02/07/2017,Tracy7890,0,0,34,230,2,False,3814,676,@POTUS @BetsyDeVos Devos will ruin our public schools #nocharterschools #novouchers #nocreationism #resisttrump #resisttrumptuesdays #nodevo
02/07/2017,RoyaltyClinton,26,0,6495,3530,222,False,187310,268978,RT @GKButterfield: On the phone with fellow North Carolinians this morning sharing my strong opposition to Betsy Devos. We must put public…
02/07/2017,RickerLA423,0,0,1517,4520,27,False,7593,13652,Betsy DeVos can crash at my crib any damn day.  I'll be ordering shit online all night with her credit cards!… https://t.co/WL00ytthcP
02/07/2017,melnina708,23992,0,15,80,1,False,154,97,"RT @GeorgeTakei: The DeVos pledge: If your senator voted YES, you pledge to vote AGAINST them in the next election and to donate to their o…"
02/07/2017,LouisianaEagle,232,0,137,43,14,False,5779,10784,"RT @AmyMek: AMEN! 

The Secretary of Education, Betsy Devos, will follow through on President Trump's promise to get rid of Islam-financed…"
02/07/2017,andrewabad21,4066,0,215,1548,6,False,4020,3633,RT @danpfeiffer: If you are really upset about the Besty DeVos confirmation consider running for your local school board. It's the best way…
02/07/2017,_MDWaters,979,0,1680,1929,99,False,7882,20173,"RT @Impeach_D_Trump: Trump Admin keeps saying they are ""taking names"". So are WE!

List of Senators who voted for Betsy DeVos and terms are…"
02/07/2017,Faze_EditsHQ,24542,0,561,1631,5,False,1373,1416,"RT @StephenAtHome: Elementary math under Betsy Devos
Q: Ned and Sheryl each have 4 apples. Who has more apples?
A: Whomever Mike Pence deci…"
02/07/2017,Anncel85,24542,0,21,212,2,False,639,481,"RT @StephenAtHome: Elementary math under Betsy Devos
Q: Ned and Sheryl each have 4 apples. Who has more apples?
A: Whomever Mike Pence deci…"
02/07/2017,AdmiralRoadCap,0,0,1518,19,66,False,2085,78618,"TERRIBLE NEWS,,,,,,,,,,,,Betsy DeVos Confirmed as Education Secretary; Pence Breaks Tie https://t.co/ubRjQmoGLn"
02/07/2017,marhabameg,534,0,1058,409,71,False,644,12918,RT @yoyoha: Allowing Betsy DeVos to run public schools would be like asking a disconnected narcissistic billionaire to be presid- oh wait
02/07/2017,yportbill,0,0,163,81,48,False,8,148038,These Are The Two Republicans Who Voted Against DeVos https://t.co/Pv352GQSjz via @dailycaller
02/07/2017,Keegannnnn,254,0,1032,1440,6,False,8197,19101,RT @rohmontgomery: Betsy DeVos got confirmed &amp; i would be surprised but Donald Trump is president. this is the upside down. we're in hell b…
02/07/2017,ReusNation11,3197,0,373,280,7,False,4889,24574,"RT @Pappiness: Future math curriculum:

If you have $200mil and need 51 votes, how much money will you have to give each Senator to buy the…"
02/07/2017,lungtawellness,35,0,1056,168,100,False,59105,53613,RT @VaguelyFunnyDan: Reasons for voting Y on DeVos are either A) Blind party allegiance regardless of how shitty nominee is or B) She paid…
02/07/2017,EyeDonut,0,0,60,296,0,False,6946,2585,"@7im Carson is just wandering around the office wondering what he has to push to dial out.  DeVos brought the gas cans, rags, and lighter."
02/07/2017,lyons784x4,329,0,3493,4007,128,False,1516,85624,"RT @TallahForTrump: Here's the 2 Rhinos who tried to backstab us voting against DeVos in return for Union cash...disgrace👇🏽😠
@SenatorCollin…"
02/07/2017,andrewlucas,2555,0,34,97,0,False,1146,2069,"RT @catvalente: Oh, and by the way, next time you tell someone what a good man McCain is, remember that he spoke against #DeVos and voted f…"
02/07/2017,RobotWizardMan,413,0,521,796,13,False,5529,6607,RT @tonyposnanski: In all fairness Betsy DeVos is just as qualified for her job as Donald Trump is.
02/07/2017,pastork5055,2919,0,990,1200,12,False,788,1414,RT @Pogue: This table shows payments from Besty DeVos’s family to the Republicans who confirmed her. Draw your own conclusions. https://t.c…
02/07/2017,truswagster,3365,0,122,350,0,False,9668,1838,RT @GeorgeTakei: Angry about your senator's DeVos vote? Let 'em hear it. Say they will pay a price next election. Let's flood with calls. (…
02/07/2017,kdvdmk,979,0,5,40,0,False,148,236,"RT @Impeach_D_Trump: Trump Admin keeps saying they are ""taking names"". So are WE!

List of Senators who voted for Betsy DeVos and terms are…"
02/07/2017,undeaddontrump,0,0,10,359,0,False,1,132,@VP @POTUS @BetsyDeVos Can you justify that statement? NO?  I thought not. #alternativefacts #EducationSecretary #devos @realDonaldTrump
02/07/2017,MauiWong,27376,0,489,2516,13,False,21348,9593,RT @SethMacFarlane: Betsy DeVos confirmed.  What is also confirmed is that there is not one single man of courage in the Republican Congres…
02/07/2017,valor_club,27,0,1119,520,89,False,38776,26970,RT @RustBeltRebel: the detroit school system has been on the brunt end of the most sustained DeVos attacks.
02/07/2017,cmo11bucs,23992,0,333,665,16,False,33084,21993,"RT @GeorgeTakei: The DeVos pledge: If your senator voted YES, you pledge to vote AGAINST them in the next election and to donate to their o…"
02/07/2017,mellytowers42,1025,0,185,157,9,False,2854,4149,"RT @TheRickyDavila: Betsy DeVos rewarded the GOP with ""donations"" and her reward is a position of power. UNFIT! 🚫 #HoldTheFloor #DeVosHeari…"
02/07/2017,sammygirl6910,113,0,1167,1108,40,False,60457,17171,"RT @PalmerReport: Every Democrat voted against Betsy DeVos. Nearly every Republican voted for her. If you think both parties are the same,…"
02/07/2017,Jaxgma3235,115,0,1432,1989,103,False,124672,131761,RT @molly_knight: Trump voters are not happy about Betsy DeVos. I am not happy they voted against their own interests and screwed us all. T…
02/07/2017,fcip,180,0,51,112,2,False,1066,881,"RT @BrandNew535: A reminder from your elected representatives that, once again, money is the way into even the highest tiers of gov.
https:…"
02/07/2017,trudiemonk,0,0,9,108,0,False,571,373,@SenBobCorker  I am thoroughly disgusted that you voted for Betsy DeVOS - putting party before the needs of our children.
02/07/2017,robin_locksmith,23992,0,120,81,2,False,1368,8180,"RT @GeorgeTakei: The DeVos pledge: If your senator voted YES, you pledge to vote AGAINST them in the next election and to donate to their o…"
02/07/2017,xxeroxxxx,3418,0,311,410,2,False,12618,11944,RT @BrendanW73: My name is Junie B. Jones. The B stands for Betsy DeVos is not qualified to be Education Secretary https://t.co/GzN8wYKryn
02/07/2017,AplValete,688,0,23,92,3,False,895,1586,RT @MMFlint: Our great state of Michigan has given you Donald Trump (10K vote margin) &amp; Betsy DeVos (she's worked tirelessly here to destro…
02/07/2017,CLandreau82,8,0,292,433,6,False,6255,8631,RT @LogoTV: DeVos’ controversial nomination prompted a reported 1.5 million calls from constituents a day https://t.co/IAhDGGRFwY
02/07/2017,abosco,1536,0,920,2001,61,False,6638,13932,"RT @Green_Footballs: Every single Democratic senator voted against DeVos, you tool. @DrJillStein https://t.co/WcosybPM6c"
02/07/2017,scoutfinch2271,979,0,281,911,27,False,8366,12021,"RT @Impeach_D_Trump: Trump Admin keeps saying they are ""taking names"". So are WE!

List of Senators who voted for Betsy DeVos and terms are…"
02/07/2017,SposatoWalls,0,0,28,73,1,False,231,778,One good thing to come out of DeVos conf is that it gives us ammunition to clean out the Senate.
02/07/2017,Luxordus,688,0,74,317,13,False,9789,9697,RT @MMFlint: Our great state of Michigan has given you Donald Trump (10K vote margin) &amp; Betsy DeVos (she's worked tirelessly here to destro…
02/07/2017,N_SoCal,8711,0,28,80,2,False,80,213,RT @ItsDanSheehan: Very important to get your DeVos jokes in while people can still read
02/07/2017,wheelercynthia,95,0,2495,2565,109,False,52152,52099,"RT @ms_erika74: From the People Claiming ""The Future Is Female"" EVERY SINGLE DEMORAT votes against a woman for #EducationSecretary 
https:/…"
02/07/2017,155madre,4066,0,119,258,2,False,1006,1328,RT @danpfeiffer: If you are really upset about the Besty DeVos confirmation consider running for your local school board. It's the best way…
02/07/2017,PattersonWR,24542,0,89,652,0,False,12,146,"RT @StephenAtHome: Elementary math under Betsy Devos
Q: Ned and Sheryl each have 4 apples. Who has more apples?
A: Whomever Mike Pence deci…"
02/07/2017,Ellenique_3,67,0,177,698,1,False,21737,9646,"RT @CharlesMBlow: ⚡️ “NYC students stage walkout following DeVos confirmation”

https://t.co/FP5ZdIqdES"
02/07/2017,brocadeghost,403,0,154,368,50,False,19448,10837,"RT @BrianWithCheese: DeVos straight up admits that she bought her position.

This is where we are, now. https://t.co/JK00Xbgmyv"
02/07/2017,castruita_c,86,0,1240,1791,67,False,17757,21627,RT @TrueEO: .@realDonaldTrump VP Pence makes History today breaking a 50/50 vote confirming Betsy Devos for Education Secretary! #MAGA. htt…
